episode_id,capture,label,session,trial,core_revision,shell_revision,mass_g,surface,orientation,strength,video_ref,operator,notes,capture_path,device_id,boot_id,firmware_version,diagnostic_state,diagnostic_passed,quality_status,quality_issues,sample_count,duration_s,observed_rate_hz,sequence_gaps,valid_fraction,accel_norm_mean_mps2,accel_norm_stdev_mps2,accel_norm_min_mps2,accel_norm_max_mps2,gyro_norm_rms_rads,gyro_norm_max_rads,jerk_norm_rms_mps3,jerk_norm_peak_mps3,active_sample_fraction,first_active_offset_s,last_active_offset_s,adxl367_clip_samples,bmi270_accel_clip_samples,bmi270_gyro_clip_samples
putt-rail-light-r01,raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r01.jsonl,putt_rail_collision,pickup-precision-1e-rail-20260904,001,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,uncontrolled,light-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one putt, one collision with a fixed rail/wall and natural settling after each visible GO cue, without pickup. Rail geometry and independent video truth were not recorded. These are hard false-pickup controls, not gameplay authority.",raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r01.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.979968,50.000106809306935,0,1.0,9.977347188878518,2.266423737434618,0.5385564264067415,54.054321731467844,3.895031278538969,47.889402381864755,152.60616048898905,2591.3179913555095,0.13466666666666666,5.219968,7.26,2,0,2
putt-rail-light-r02,raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r02.jsonl,putt_rail_collision,pickup-precision-1e-rail-20260904,002,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,uncontrolled,light-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one putt, one collision with a fixed rail/wall and natural settling after each visible GO cue, without pickup. Rail geometry and independent video truth were not recorded. These are hard false-pickup controls, not gameplay authority.",raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r02.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.979968,50.000106809306935,0,1.0,10.245895599763204,5.44495079819664,1.075654835231544,99.6548677465981,4.037905978775667,37.325720658154864,383.9539779116677,4397.618902566592,0.21866666666666668,0.0,7.079968,4,0,3
putt-rail-light-r03,raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r03.jsonl,putt_rail_collision,pickup-precision-1e-rail-20260904,003,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,uncontrolled,light-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one putt, one collision with a fixed rail/wall and natural settling after each visible GO cue, without pickup. Rail geometry and independent video truth were not recorded. These are hard false-pickup controls, not gameplay authority.",raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r03.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.980032,49.99989319114939,0,1.0,10.40180882260103,5.138862745290363,0.472151006380374,100.366003982587,6.694087482511265,48.29755623951239,333.2198521716662,4486.470810436414,0.11466666666666667,5.480032,7.2,5,0,13
putt-rail-normal-r04,raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r04.jsonl,putt_rail_collision,pickup-precision-1e-rail-20260904,004,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,uncontrolled,normal-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one putt, one collision with a fixed rail/wall and natural settling after each visible GO cue, without pickup. Rail geometry and independent video truth were not recorded. These are hard false-pickup controls, not gameplay authority.",raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r04.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,751,14.999968,50.00010666689422,0,1.0,10.200860383695998,4.646084294204393,0.3981692055759712,91.33529325989497,5.7356926324862165,39.69791106220088,306.5316751228099,3845.731777816919,0.10386151797603196,4.639968,6.199968,7,0,12
putt-rail-normal-r05,raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r05.jsonl,putt_rail_collision,pickup-precision-1e-rail-20260904,005,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,uncontrolled,normal-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one putt, one collision with a fixed rail/wall and natural settling after each visible GO cue, without pickup. Rail geometry and independent video truth were not recorded. These are hard false-pickup controls, not gameplay authority.",raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r05.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,751,14.999968,50.00010666689422,0,1.0,10.208936584609678,4.475860928843309,1.084984016748634,93.47093091007538,6.2286550300191,57.54642637476794,279.68301767019955,4160.35444492172,0.08388814913448735,4.82,6.079968,7,0,4
putt-rail-normal-r06,raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r06.jsonl,putt_rail_collision,pickup-precision-1e-rail-20260904,006,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,uncontrolled,normal-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one putt, one collision with a fixed rail/wall and natural settling after each visible GO cue, without pickup. Rail geometry and independent video truth were not recorded. These are hard false-pickup controls, not gameplay authority.",raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r06.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,751,14.999968,50.00010666689422,0,1.0,10.14045829376505,4.653514568263361,1.0755052986787188,114.02885889063306,5.1568998751599375,50.022685696725674,295.09368838386627,5203.512535661999,0.12383488681757657,4.899968,6.74,3,0,4
putt-rail-normal-r07,raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r07.jsonl,putt_rail_collision,pickup-precision-1e-rail-20260904,007,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,uncontrolled,normal-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one putt, one collision with a fixed rail/wall and natural settling after each visible GO cue, without pickup. Rail geometry and independent video truth were not recorded. These are hard false-pickup controls, not gameplay authority.",raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r07.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.98,50.0,0,1.0,10.155579430419515,3.6374319955157053,1.671422390308925,86.22852367946844,6.1065566972595375,41.551148357547156,257.5628438383223,3874.9303196063356,0.10933333333333334,4.78,6.44,13,0,15
putt-rail-firm-r08,raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r08.jsonl,putt_rail_collision,pickup-precision-1e-rail-20260904,008,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,uncontrolled,firm-natural-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one putt, one collision with a fixed rail/wall and natural settling after each visible GO cue, without pickup. Rail geometry and independent video truth were not recorded. These are hard false-pickup controls, not gameplay authority.",raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r08.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,751,14.999968,50.00010666689422,0,1.0,10.12525318911349,2.4650856112127406,1.2543620085150857,46.84098651907879,6.185832626785375,45.13543264271069,172.150109995885,2279.331225528185,0.09187749667110519,5.459968,6.839968,13,0,13
putt-rail-firm-r09,raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r09.jsonl,putt_rail_collision,pickup-precision-1e-rail-20260904,009,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,uncontrolled,firm-natural-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one putt, one collision with a fixed rail/wall and natural settling after each visible GO cue, without pickup. Rail geometry and independent video truth were not recorded. These are hard false-pickup controls, not gameplay authority.",raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r09.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.98,50.0,0,1.0,11.257001005019214,5.797194603307509,1.9331151519001655,82.16367619777004,15.220984360408579,60.32793440078742,235.23856357682408,2503.7655004571807,0.28933333333333333,5.26,9.579968,33,0,37
putt-rail-firm-r10,raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r10.jsonl,putt_rail_collision,pickup-precision-1e-rail-20260904,010,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,uncontrolled,firm-natural-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one putt, one collision with a fixed rail/wall and natural settling after each visible GO cue, without pickup. Rail geometry and independent video truth were not recorded. These are hard false-pickup controls, not gameplay authority.",raw/field-pickup-precision-1e-rail-20260904-putt_rail_collision-r10.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.980032,49.99989319114939,0,1.0,10.394616492623411,5.273406103942781,1.3900151936701988,76.62748161792129,7.2933830986034955,60.461195799354044,143.63115586447788,2327.0907738529804,0.16666666666666666,5.220032,7.7,10,0,7
