episode_id,capture,label,session,trial,core_revision,shell_revision,mass_g,surface,orientation,strength,video_ref,operator,notes,capture_path,device_id,boot_id,firmware_version,diagnostic_state,diagnostic_passed,quality_status,quality_issues,sample_count,duration_s,observed_rate_hz,sequence_gaps,valid_fraction,accel_norm_mean_mps2,accel_norm_stdev_mps2,accel_norm_min_mps2,accel_norm_max_mps2,gyro_norm_rms_rads,gyro_norm_max_rads,jerk_norm_rms_mps3,jerk_norm_peak_mps3,active_sample_fraction,first_active_offset_s,last_active_offset_s,adxl367_clip_samples,bmi270_accel_clip_samples,bmi270_gyro_clip_samples
pickup-drop-r01,raw/field-pickup-precision-1c-drop-20260904-pickup_drop-r01.jsonl,pickup_drop,pickup-precision-1c-drop-20260904,001,PCA20072-carrier-R0,printed-two-half-R1,,unspecified-safe,varied-unmeasured,casual-low-height-unmeasured,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported a stationary-start pickup, 2-3 seconds of carrying, and a casual low-height release without throwing after every visible GO cue. Release height, landing surface and independent video truth were not measured. The continuation session followed one valid earlier capture; filenames are preserved unchanged. This is pickup-positive variation and must not be used to tune frozen V0 thresholds.",raw/field-pickup-precision-1c-drop-20260904-pickup_drop-r01.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,751,15.0,50.0,0,1.0,10.049990334803173,3.007200372605936,0.1423730803347318,49.69817758390721,3.1785812811454592,18.284408022955244,150.4127226520665,2461.739471887487,0.4181091877496671,6.299968,12.6,2,0,0
pickup-drop-r02,raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r01.jsonl,pickup_drop,pickup-precision-1c-drop-20260904-b,002,PCA20072-carrier-R0,printed-two-half-R1,,unspecified-safe,varied-unmeasured,casual-low-height-unmeasured,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported a stationary-start pickup, 2-3 seconds of carrying, and a casual low-height release without throwing after every visible GO cue. Release height, landing surface and independent video truth were not measured. The continuation session followed one valid earlier capture; filenames are preserved unchanged. This is pickup-positive variation and must not be used to tune frozen V0 thresholds.",raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r01.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,750,14.98,50.0,0,1.0,10.2692910599,3.8838503653949443,0.08525712754368399,73.48746096412727,2.5143949553639287,11.887816415825952,226.76807005552254,3672.5241335178675,0.384,4.86,10.780032,3,0,0
pickup-drop-r03,raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r02.jsonl,pickup_drop,pickup-precision-1c-drop-20260904-b,003,PCA20072-carrier-R0,printed-two-half-R1,,unspecified-safe,varied-unmeasured,casual-low-height-unmeasured,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported a stationary-start pickup, 2-3 seconds of carrying, and a casual low-height release without throwing after every visible GO cue. Release height, landing surface and independent video truth were not measured. The continuation session followed one valid earlier capture; filenames are preserved unchanged. This is pickup-positive variation and must not be used to tune frozen V0 thresholds.",raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r02.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,750,14.98,50.0,0,1.0,10.234704413462682,3.162014366885161,0.09297562025606498,49.615200350510136,2.8634363332761574,14.247420852842033,139.88924007405012,2463.286795753607,0.42533333333333334,5.140032,11.540032,6,0,0
pickup-drop-r04,raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r03.jsonl,pickup_drop,pickup-precision-1c-drop-20260904-b,004,PCA20072-carrier-R0,printed-two-half-R1,,unspecified-safe,varied-unmeasured,casual-low-height-unmeasured,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported a stationary-start pickup, 2-3 seconds of carrying, and a casual low-height release without throwing after every visible GO cue. Release height, landing surface and independent video truth were not measured. The continuation session followed one valid earlier capture; filenames are preserved unchanged. This is pickup-positive variation and must not be used to tune frozen V0 thresholds.",raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r03.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,750,14.98,50.0,0,1.0,10.355985052734482,3.575261779844162,0.021414823020515488,79.80235925748235,3.136547852767114,16.817006947455543,220.01889041019876,3971.2746334578464,0.396,5.640032,11.560032,2,0,0
pickup-drop-r05,raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r04.jsonl,pickup_drop,pickup-precision-1c-drop-20260904-b,005,PCA20072-carrier-R0,printed-two-half-R1,,unspecified-safe,varied-unmeasured,casual-low-height-unmeasured,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported a stationary-start pickup, 2-3 seconds of carrying, and a casual low-height release without throwing after every visible GO cue. Release height, landing surface and independent video truth were not measured. The continuation session followed one valid earlier capture; filenames are preserved unchanged. This is pickup-positive variation and must not be used to tune frozen V0 thresholds.",raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r04.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,750,14.980064,49.999786382755104,0,1.0,10.440962591133625,2.9338211810067025,0.11219893128278896,47.72626538168755,2.3691971487433428,16.394793268093228,170.81735380844057,2376.9002820689275,0.37866666666666665,4.880032,10.600032,4,0,0
pickup-drop-r06,raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r05.jsonl,pickup_drop,pickup-precision-1c-drop-20260904-b,006,PCA20072-carrier-R0,printed-two-half-R1,,unspecified-safe,varied-unmeasured,casual-low-height-unmeasured,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported a stationary-start pickup, 2-3 seconds of carrying, and a casual low-height release without throwing after every visible GO cue. Release height, landing surface and independent video truth were not measured. The continuation session followed one valid earlier capture; filenames are preserved unchanged. This is pickup-positive variation and must not be used to tune frozen V0 thresholds.",raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r05.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,751,14.999968,50.00010666689422,0,1.0,10.665133460255303,3.4895462093205043,0.18240483857617373,47.546680218162486,3.886755030575036,15.92233971246858,168.2295737261487,2312.862213052162,0.5992010652463382,5.419968,14.4,2,0,0
pickup-drop-r07,raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r06.jsonl,pickup_drop,pickup-precision-1c-drop-20260904-b,007,PCA20072-carrier-R0,printed-two-half-R1,,unspecified-safe,varied-unmeasured,casual-low-height-unmeasured,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported a stationary-start pickup, 2-3 seconds of carrying, and a casual low-height release without throwing after every visible GO cue. Release height, landing surface and independent video truth were not measured. The continuation session followed one valid earlier capture; filenames are preserved unchanged. This is pickup-positive variation and must not be used to tune frozen V0 thresholds.",raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r06.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,750,14.979968,50.000106809306935,0,1.0,10.669988392073694,3.1042343435743684,0.10359109369535587,26.002069048643456,3.23032672010595,13.717409510208332,86.23262544951693,1225.7274070803762,0.48,4.799968,11.999968,2,0,0
pickup-drop-r08,raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r07.jsonl,pickup_drop,pickup-precision-1c-drop-20260904-b,008,PCA20072-carrier-R0,printed-two-half-R1,,unspecified-safe,varied-unmeasured,casual-low-height-unmeasured,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported a stationary-start pickup, 2-3 seconds of carrying, and a casual low-height release without throwing after every visible GO cue. Release height, landing surface and independent video truth were not measured. The continuation session followed one valid earlier capture; filenames are preserved unchanged. This is pickup-positive variation and must not be used to tune frozen V0 thresholds.",raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r07.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,751,14.999968,50.00010666689422,0,1.0,10.385958655492281,2.9847720474702615,0.05805768324692263,38.12600019854033,2.1315659591871183,13.829927792576322,132.9683447806751,1900.2524449085565,0.41145139813581894,6.319968,12.519968,4,0,0
pickup-drop-r09,raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r08.jsonl,pickup_drop,pickup-precision-1c-drop-20260904-b,009,PCA20072-carrier-R0,printed-two-half-R1,,unspecified-safe,varied-unmeasured,casual-low-height-unmeasured,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported a stationary-start pickup, 2-3 seconds of carrying, and a casual low-height release without throwing after every visible GO cue. Release height, landing surface and independent video truth were not measured. The continuation session followed one valid earlier capture; filenames are preserved unchanged. This is pickup-positive variation and must not be used to tune frozen V0 thresholds.",raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r08.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,750,14.979968,50.000106809306935,0,1.0,10.72807023385445,4.6792600834235065,0.13501597799519877,93.45325245779641,3.8413612180832017,22.67731250870158,244.20888731074737,4663.777989154967,0.43466666666666665,5.639968,12.199968,4,0,0
pickup-drop-r10,raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r09.jsonl,pickup_drop,pickup-precision-1c-drop-20260904-b,010,PCA20072-carrier-R0,printed-two-half-R1,,unspecified-safe,varied-unmeasured,casual-low-height-unmeasured,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported a stationary-start pickup, 2-3 seconds of carrying, and a casual low-height release without throwing after every visible GO cue. Release height, landing surface and independent video truth were not measured. The continuation session followed one valid earlier capture; filenames are preserved unchanged. This is pickup-positive variation and must not be used to tune frozen V0 thresholds.",raw/field-pickup-precision-1c-drop-20260904-b-pickup_drop-r09.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,750,14.98,50.0,0,1.0,10.41322965596978,2.9701812431963353,0.07182786666747105,36.689841921726675,2.253158542841266,8.850988918095254,132.1360911994904,1829.5330343338446,0.368,5.22,10.74,2,0,0
