source_path,packaged_path,category,quality,quality_note_zh,episode_label,capture_status,motion_samples,duration_s,observed_rate_hz,sequence_gaps,valid_fraction,first_active_offset_s,last_active_offset_s,marker_offset_s,adxl367_clip_samples,bmi270_accel_clip_samples,bmi270_gyro_clip_samples,device_id,boot_id,firmware_version,stream_rate_hz_claimed,malformed_json_lines,sha256
experiments/research_ball_r0_stationary/raw/stationary-o1-r01.jsonl,data/02_curated_stationary/stationary-o1-r01.jsonl,02_curated_stationary,curated_exploratory,已有仓库内说明和派生分析；仍不是产品分类器验证集。,stationary,PASS,1024,20.46,50.0,0,1.0,,,,0,0,0,f383571202836e6f,8881f66bd3ff32f0,0.1.13,50,0,9f4e45f69fe07991a9c0f6f55339e17bf1d5d3e2491b6c90364e9ed2617a2898
experiments/research_ball_r0_stationary/raw/stationary-o2-r01.jsonl,data/02_curated_stationary/stationary-o2-r01.jsonl,02_curated_stationary,curated_exploratory,已有仓库内说明和派生分析；仍不是产品分类器验证集。,stationary,PASS,1024,20.460032,49.999922,0,1.0,,,,0,0,0,f383571202836e6f,8881f66bd3ff32f0,0.1.13,50,0,db87ffd8feb16a676779c6c567dc7ba0dc269345d75b3ea1d6c33a4445750258
experiments/research_ball_r1_manual_floor/raw/armed-stationary-smoke-r01.jsonl,data/03_curated_manual_floor/armed-stationary-smoke-r01.jsonl,03_curated_manual_floor,curated_exploratory,已有仓库内说明和派生分析；仍不是产品分类器验证集。,stationary,PASS,400,7.98,50.0,0,1.0,,,3.0,0,0,0,f383571202836e6f,eab45817668ee95c,0.1.17,50,0,156dabc150c147ceafe5f4d87444bdfb44246b2ae190d7c03099e93fa863c5de
experiments/research_ball_r1_manual_floor/raw/pickup-carry-r01.jsonl,data/03_curated_manual_floor/pickup-carry-r01.jsonl,03_curated_manual_floor,curated_exploratory,已有仓库内说明和派生分析；仍不是产品分类器验证集。,pickup_carry,PASS,1024,20.460032,49.999922,0,1.0,4.86,12.760032,,0,0,0,f383571202836e6f,eab45817668ee95c,0.1.17,50,0,25e3967efd5b56aa08a6e01cac693ac1a8971f74640481c579e3fa01cbbf7d16
experiments/research_ball_r1_manual_floor/raw/restrained-repeated-taps-r01.jsonl,data/03_curated_manual_floor/restrained-repeated-taps-r01.jsonl,03_curated_manual_floor,curated_exploratory,已有仓库内说明和派生分析；仍不是产品分类器验证集。,impact_tap,PASS,1024,20.46,50.0,0,1.0,0.160032,18.16,,9,0,0,f383571202836e6f,eab45817668ee95c,0.1.17,50,0,8a02d252a2761246dcf5f591fed9de158cfc63f5e1fc2e67d64b3bb6ebb0dce9
experiments/research_ball_r1_manual_floor/raw/roll-manual-light-r01.jsonl,data/03_curated_manual_floor/roll-manual-light-r01.jsonl,03_curated_manual_floor,curated_exploratory,已有仓库内说明和派生分析；仍不是产品分类器验证集。,rolling,PASS,1024,20.460096,49.999765,0,1.0,7.74,19.76,,0,0,0,f383571202836e6f,eab45817668ee95c,0.1.17,50,0,c85593691850eee622f6e5b8ee02c17e4617598d11350d75d6eefccfd618674e
experiments/research_ball_r1_manual_floor/raw/roll-manual-medium-r01.jsonl,data/03_curated_manual_floor/roll-manual-medium-r01.jsonl,03_curated_manual_floor,curated_exploratory,已有仓库内说明和派生分析；仍不是产品分类器验证集。,rolling,PASS,1024,20.460288,49.999296,0,1.0,7.34,20.460288,,1,0,0,f383571202836e6f,eab45817668ee95c,0.1.17,50,0,f10bb725c8416493b36849992d5eb4679b74fa4b6e9e55704ebf50ffe4d77d6a
experiments/research_ball_r1_manual_floor/raw/stationary-post-r01.jsonl,data/03_curated_manual_floor/stationary-post-r01.jsonl,03_curated_manual_floor,curated_exploratory,已有仓库内说明和派生分析；仍不是产品分类器验证集。,stationary,PASS,1024,20.460032,49.999922,0,1.0,,,,0,0,0,f383571202836e6f,eab45817668ee95c,0.1.17,50,0,773c561727add22cb755ad793f7423ec254dc37d7edcf760ec7707b5d1c60654
experiments/research_ball_r1_manual_floor/raw/stationary-pre-r01.jsonl,data/03_curated_manual_floor/stationary-pre-r01.jsonl,03_curated_manual_floor,curated_exploratory,已有仓库内说明和派生分析；仍不是产品分类器验证集。,stationary,PASS,1024,20.460064,49.999844,0,1.0,,,,0,0,0,f383571202836e6f,eab45817668ee95c,0.1.17,50,0,58bbc7ec7deb99088a44bf41c862c9b00728f58ef4b1fc863aa8934619d84f86
runs/field-20260904-123003-1-pickup_carry-r01.jsonl,data/06_field_pickup/field-20260904-123003-1-pickup_carry-r01.jsonl,06_field_pickup,legacy_exploratory,早期固件/动作探索；标签、窗口和同步规则随固件版本变化。,pickup_carry,PASS,650,12.98,50.0,0,1.0,4.639968,11.44,2.98,2,0,0,f383571202836e6f,b7d6474ba25dbade,0.1.17,50,0,819ddc1b77ee1be104b30568b7354efeb9829993c8bc58fdee7875d0dab7d7ea
runs/field-20260904-123003-1-pickup_carry-r02.jsonl,data/06_field_pickup/field-20260904-123003-1-pickup_carry-r02.jsonl,06_field_pickup,legacy_exploratory,早期固件/动作探索；标签、窗口和同步规则随固件版本变化。,pickup_carry,PASS,650,12.98,50.0,0,1.0,0.0,7.68,2.980032,7,0,0,f383571202836e6f,b7d6474ba25dbade,0.1.17,50,0,62075e2769762ca9395073c295643ed7d471667f39bcb207ab053fb4a945edcc
runs/field-20260904-125536-pickup_carry-r01.failed-20260904-125643-138524.jsonl,data/90_diagnostic_or_invalid/field-20260904-125536-pickup_carry-r01.failed-20260904-125643-138524.jsonl,90_diagnostic_or_invalid,invalid_label,完整静止窗口被标成 pickup_carry；仅用于失败恢复/负例研究。,pickup_carry,PASS,651,13.0,50.0,0,1.0,,,3.0,0,0,0,f383571202836e6f,b7d6474ba25dbade,0.1.17,50,0,bbd3f806eced1fb17df9e3a9a1acc182da62f707381a83d9d2dc6261b03259ec
